,Unnamed: 0,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction,firstIntentionConsistFinalGoal
6,6,model37,3,4,11,4,7,12,"[1321, 1326, 1333, 1339, 1348, 1353, 1357, 1359, 1362, 1364, 1367, 1369, 1372, 1374]","[(7, 12), [7, 11], [6, 11], [6, 12], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [6, 6], [5, 6], [5, 5], [4, 5], [3, 5], [3, 4]]","[(0, -1), (-1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1)]","[3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",2,8,8,0,10
7,7,model37,3,8,11,8,7,1,"[1320, 1328, 1334, 1342, 1348, 1351, 1355, 1358, 1361, 1364, 1368]","[(7, 1), [7, 2], [7, 3], [7, 4], [7, 5], [8, 5], [8, 6], [9, 6], [9, 7], [10, 7], [11, 7], [11, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1)]",[5],"[0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0]",1,8,7,180,7
8,8,model37,4,6,10,6,7,12,"[1314, 1320, 1326, 1332, 1336, 1339, 1343, 1346, 1349]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [8, 7], [9, 7], [9, 6], [10, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,6,0,6
9,9,model37,3,5,3,9,11,7,"[1321, 1326, 1332, 1338, 1345, 1349, 1355, 1358, 1361, 1364]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2]",special,4,8,270,9
0,0,model21,5,14,9,14,7,6,"[1308, 1309, 1310, 1311, 1313, 1315, 1316, 1317, 1319, 1320]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [7, 14], [8, 14], [9, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,8,180,9
1,1,model21,4,14,10,14,7,8,"[1309, 1310, 1311, 1313, 1314, 1315, 1316, 1318, 1320]","[(7, 8), [7, 9], [7, 10], [7, 11], [7, 12], [6, 12], [6, 13], [5, 13], [5, 14], [4, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[5],"[0, 0, 0, 0, 0, 0, 1, 0, 1]",1,6,6,180,7
2,2,model21,1,5,1,9,8,7,"[1309, 1311, 1313, 1316, 1318, 1320, 1322, 1325, 1327, 1329, 1332]","[(8, 7), [7, 7], [6, 7], [5, 7], [4, 7], [4, 6], [4, 7], [3, 7], [2, 7], [1, 7], [1, 6], [1, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[6, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,4,7,270,10
3,3,model21,13,4,13,10,6,7,"[1306, 1308, 1310, 1312, 1314, 1315, 1317, 1318, 1319, 1321, 1322, 1323]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 6], [12, 5], [13, 5], [13, 6], [13, 5], [13, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, 1), (0, -1), (0, -1)]",[10],"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",1,6,7,90,7
4,4,model21,14,5,14,9,8,7,"[1309, 1310, 1313, 1314, 1315, 1317, 1319, 1320, 1322, 1323]","[(8, 7), [7, 7], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [12, 8], [13, 8], [14, 8], [14, 9]]","[(-1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,4,6,90,10
5,5,model21,4,6,10,6,7,14,"[1311, 1312, 1314, 1315, 1317, 1318, 1319, 1320, 1321, 1323, 1324]","[(7, 14), [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [6, 7], [5, 7], [5, 6], [4, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,6,8,0,8
